user_name,user_city,comment,praise,date,sentiment
丹山风,山东,好听,0,2024-11-20 23:59:28,0.33333333333333337
两次春风起,陕西,好听,0,2024-11-20 23:49:52,0.33333333333333337
悸鹿妍_,安徽,总会突然想哭 觉得我这一路走来太多坎坷,0,2024-11-20 18:11:28,0.9847029891743101
Wo好无聊a-,陕西,谈恋爱时候最让我高兴的视频通话的铃声，也变成了分开之后不敢再听的歌,0,2024-11-20 17:07:46,0.8172191171248278
-楠不难0,云南,哈哈哈,0,2024-11-20 15:42:26,0.8684210526315791
Aaa呆小鱼,福建,婚姻法第7条:禁止娶抑郁患者为妻.,0,2024-11-20 13:26:19,0.846457261768927
Aaa呆小鱼,福建,婚姻法第7条:禁止娶抑郁症患者为妻.,0,2024-11-20 13:23:09,0.8921486442779342
我想抓那天上的月亮,北京,我是蒲公英 我只为你停留,0,2024-11-20 11:50:51,0.57013975086822
BRAVE-010203,安徽,一直放不下，现在还是经常回忆起来，对方或许早就不是我心里的样子，每次听到这首歌总是不自觉想起来，还是很庆幸在学生时代的尾声有这么一段回忆吧，或许也是怀念那时候的自己纯粹对未来充满期待，淮北的刘雨同学，不对现在应该是老师了，不打扰了，现在还好吗,0,2024-11-20 02:22:32,0.999999999294328
第四十四行诗,新疆,祝你爱如惊春,0,2024-11-20 01:43:43,0.9913916190215531
别说做不到的话,湖南,本来挺喜欢你的 想想你做的那些事 其实你也就那样,1,2024-11-19 23:50:56,0.7550290245812986
都会好烦烦烦,广东,天天开心,0,2024-11-19 21:13:13,0.8834014393042217
都会好烦烦烦,广东,99,0,2024-11-19 21:12:56,0.4545454545454545
_我只爱宝宝一个人,上海,长长99,0,2024-11-19 20:34:27,0.20005327733018652
-小蠢-,广西,喜欢拥抱 更喜欢冬天的拥抱 相互依偎的温暖.接下来就是 卫衣 初雪 跨年 烟花 和有你的冬天我不是对谁都好 仅你而已.蒲公英一吹就散 哪有什么约定,0,2024-11-19 19:28:10,0.9999949460689396
-小蠢-,广西,任何人在任何时候突然分道扬镳都很正常你总是问我想要什么 于是我看着你突然好想叹气你太会权衡利弊 后悔这个词永远不会出现在你的字典里聊天记录不敢删 上面有你爱我的样子,1,2024-11-19 19:27:32,0.6598408565165874
-小蠢-,广西,聊天框里好安静 我以为我们永远有话说本以为你会拥抱我的不堪 没想到你也是刺向我的一把刀冬天的约定你和我人变心的时候  根本不会刹车,0,2024-11-19 19:26:51,0.2588311917666535
-小蠢-,广西,重新认识一下 想妳^  顶峰相见.接下来就是下雪  寒假  跨年  烟花露出点破绽吧 让我知道你在想我难养的花 也会遇到最好的花匠,0,2024-11-19 19:25:57,0.28436674462629075
水蓝色荧光笔,河南,好听,0,2024-11-19 19:17:27,0.33333333333333337
水蓝色荧光笔,河南,是啊,0,2024-11-19 19:15:21,0.5262327818078083
水蓝色荧光笔,河南,祝福,0,2024-11-19 19:14:39,0.9473684210526315
三生生生生w,北京,你超棒的！要自信呀,0,2024-11-19 17:19:27,0.9938670604479283
uyfytfuyivgf,浙江,或许一开始就没动过心,0,2024-11-19 15:39:30,0.7764558715959017
他夏了夏天閮,广东,好羡慕啊！,0,2024-11-19 14:39:54,0.9898786469420197
高冷帅气霸总,江西,待我如初多少钱我买,0,2024-11-19 14:34:37,0.2637105030452598
ORIU,北京,但一定得向阳而生，因为太阳就是它唯一的希望[多多大笑],0,2024-11-19 13:33:50,0.8852579642210023
綫沅,山西,随心所欲是心里的top1,1,2024-11-18 23:58:21,0.6117295695113586
林阿软,上海,坐等黑胶[可爱],0,2024-11-18 23:44:37,0.5671600826226209
冰岛思绪,河南,爱本就瞬息万变 一直和永远只是助兴词,0,2024-11-18 21:37:37,0.7220169496876355
难祈福-,河北,和好如初太难幸福这条路我选择独行.,0,2024-11-18 21:16:00,0.977406671185351
羽延_,山东,昨晚我带着现任，去大学校外的海边，把和前任一起写的7本日记用力的全部扔进海里,0,2024-11-18 21:09:54,0.45897203479679294
死神之银之守墓人银,广东,自己好好生活吧！加油陌生人[强],0,2024-11-18 19:39:25,0.9442406417235446
wu无敌_,浙江,可我们从来就没拥有过瞬间的幸福啊[流感],0,2024-11-18 18:34:53,0.9965231948230774
文案难风,广东,没有什么恋爱脑 只不过是在这段感情中动了真心罢了[钟情],1,2024-11-18 18:34:37,0.9983829805359914
文案难风,广东,没有什么恋爱脑 只不过是在这段感情中动了真心罢了[心碎],1,2024-11-18 18:32:26,0.9995143444406528
再特别,广西,是的,0,2024-11-18 18:07:16,0.5262327818078083
冷冰冰的诺言_ApQN,江苏,如果喜欢他，就大声喊出他名字,1,2024-11-18 17:37:04,0.4267160262667805
冷冰冰的诺言_ApQN,江苏,如果喜欢他，就大声喊出他的名字,1,2024-11-18 17:36:24,0.4267160262667805
明minning,河北,恭喜,0,2024-11-18 14:24:30,0.7499999999999999
群居fw,广东,恭喜,0,2024-11-18 13:17:17,0.7499999999999999
眼泪拌饭少熬夜,广东,可︋能︋你︋早︋就︋变︋了︋ 是︋我︋记︋忆︋中︋的︋你︋太︋好︋了︋.,1,2024-11-18 12:37:21,0.14291811619449035
眼泪拌饭少熬夜,广东,没有规定一朵花必须要长成向日葵或玫瑰.,0,2024-11-18 12:36:39,0.8147074963775597
眼泪拌饭少熬夜,广东,往事清零  重新开始.,0,2024-11-18 12:35:26,0.9692921748712061
沈璐清,广西,我很清醒 但我放不下,0,2024-11-18 12:03:26,0.871955905518118
思念躲进回忆里,河南,喂 屏幕前的 要天天开心,1,2024-11-18 02:17:01,0.9027208388125739
柒club,山西,我笨笨的，怕读不懂你的隐意，我有些词不达意，但我真的没有不用心；你总是觉得自己不够好，不够漂亮，可在我看来你已经很美了，我的性格很内向自卑，我平时的话少少的，我只是不知道该去怎么表达，我希望你可以天天开心，好好爱自己,2,2024-11-18 01:18:04,0.9999786454614574
风居住过的街l,浙江,爱意东升西落 浪漫至死不渝,0,2024-11-17 22:48:31,0.9945039744628705
淡淡然玲儿,河北,幸福,0,2024-11-17 22:35:57,0.9162790697674418
kiss丶寒曦,北京,那是你已经爱上她了[多多大哭],0,2024-11-17 20:25:44,0.9324054771104568
Dancer终生,广东,所以有时候想开点吧[多多难过],0,2024-11-17 18:42:40,0.7228667578912823
